California,House,H,Open Primary,X,12,Ned Nuerge,Nuerge,20075065
California,House,H,Open Primary,X,12,Abdur Sikder,Sikder,20077112
California,House,H,Open Primary,X,12,Lateefah Simon,Simon,20077113
California,House,H,Open Primary,X,12,Stephen Slauson,Slauson,20075016
California,House,H,Open Primary,X,12,Andre Todd,Todd,20077114
California,House,H,Open Primary,X,12,Jennifer Tran,Tran,20077115
California,House,H,Open Primary,X,12,Eric Wilson,Wilson,20075064
California,House,H,Open Primary,X,13,John Duarte,Duarte,20075068
California,House,H,Open Primary,X,13,Adam Gray,Gray,20075067
California,House,H,Open Primary,X,14,Alison Hayden,Hayden,20073431
California,House,H,Open Primary,X,14,Vin Kruttiventi,Kruttiventi,20077120
California,House,H,Open Primary,X,14,Luis Reynoso,Reynoso,20077119
California,House,H,Open Primary,X,14,Eric Swalwell,Swalwell,62343
California,House,H,Open Primary,X,15,Anna Cheng Kramer,Kramer,20077121
California,House,H,Open Primary,X,15,Kevin Mullin,Mullin,20075018
California,House,H,Open Primary,X,16,Joby Bernstein,Bernstein,20077372
California,House,H,Open Primary,X,16,Peter Dixon,Dixon,20077543
California,House,H,Open Primary,X,16,Rishi Kumar,Kumar,20073433
California,House,H,Open Primary,X,16,Sam Liccardo,Liccardo,20077545
California,House,H,Open Primary,X,16,Evan Low,Low,20077546
California,House,H,Open Primary,X,16,Julie Lythcott-Haims,Lythcott-Haims,20077547
California,House,H,Open Primary,X,16,Ahmed Mostafa,Mostafa,20077548
California,House,H,Open Primary,X,16,Peter Ohtaki,Ohtaki,20075020
California,House,H,Open Primary,X,16,Karl Ryan,Ryan,20178
California,House,H,Open Primary,X,16,Joe Simitian,Simitian,20077549
California,House,H,Open Primary,X,16,Greg Tanaka,Tanaka,20075080
California,House,H,Open Primary,X,17,Anita Chen,Chen,20077122
California,House,H,Open Primary,X,17,Joe Dehn,Dehn,20069397
California,House,H,Open Primary,X,17,Ro Khanna,Khanna,7547
California,House,H,Open Primary,X,17,Mario Ramirez,Ramirez,20077646
California,House,H,Open Primary,X,17,Ritesh Tandon,Tandon,20073432
California,House,H,Open Primary,X,18,Peter Hernandez,Hernandez,20075021
California,House,H,Open Primary,X,18,Luele Kifle,Kifle,20077123
California,House,H,Open Primary,X,18,Zoe Lofgren,Lofgren,110
California,House,H,Open Primary,X,18,Lawrence Milan,Milan,20077124
California,House,H,Open Primary,X,18,Charlene Nijmeh,Nijmeh,20077373
