county_id,county_desc,party,county_total_reg,county_total_party_reg,county_pct_black,county_pct_party_black,county_pct_white,county_pct_party_white,county_pct_nonwhite,county_pct_party_nonwhite,county_avg_age,county_avg_party_age,county_pct_una,county_pct_party_election_day_lag,county_pct_party_absentee_lag,county_pct_party_early_lag,county_pct_party_turnout_lag
43,HARNETT,Republican,98907,35230,0.2054354090205951,0.0209480556344025,0.6197640207467621,0.8538745387453874,0.3802359792532379,0.14612546125461254,49.56553125663502,51.88010218563724,0.34320118899572327,0.22772499438916735,0.003852771751327897,0.11427395825540511,0.3581207451185756
44,HAYWOOD,Democrat,54617,15193,0.010418001721075855,0.024748239320739815,0.925975428895765,0.928848811952873,0.07402457110423495,0.07115118804712697,56.68116154310929,63.62436648456526,0.366131424281817,0.3370203940546146,0.010024196335983409,0.2414794331144141,0.5978568959557553
44,HAYWOOD,Republican,54617,19047,0.010418001721075855,0.0018900614269963774,0.925975428895765,0.9439806793720796,0.07402457110423495,0.05601932062792041,56.68116154310929,57.04016380532367,0.366131424281817,0.32,0.005825932504440497,0.20120781527531084,0.5345648312611012
45,HENDERSON,Democrat,104776,20595,0.026456440406199894,0.08424374848264142,0.8746945865465374,0.7970381160475843,0.12530541345346263,0.20296188395241563,57.740847140566544,59.935372663267785,0.43122470794838513,0.467860551282771,0.01953629371807107,0.36405995621175546,0.86841071127828
45,HENDERSON,Republican,104776,38212,0.026456440406199894,0.0034805820161205904,0.8746945865465374,0.9349157332775044,0.12530541345346263,0.06508426672249555,57.740847140566544,60.532607557835235,0.43122470794838513,0.3150743228865854,0.007751466699091102,0.22646441924795574,0.5627564823540141
46,HERTFORD,Democrat,16152,10504,0.5994923229321446,0.7878903274942879,0.3287518573551263,0.16793602437166794,0.6712481426448736,0.832063975628332,55.07348935116394,58.08349200304646,0.23371718672610203,0.27403846153846156,0.0033359497645211933,0.11263736263736264,0.40482731554160123
46,HERTFORD,Republican,16152,1820,0.5994923229321446,0.11373626373626373,0.3287518573551263,0.8153846153846154,0.6712481426448736,0.18461538461538463,55.07348935116394,54.62692307692308,0.23371718672610203,0.3312056737588652,0.0028368794326241137,0.10567375886524823,0.4425531914893617
47,HOKE,Democrat,38105,15880,0.37520010497310063,0.6640428211586902,0.4008922713554652,0.1600125944584383,0.5991077286445349,0.8399874055415617,48.53646503083585,52.93337531486146,0.3495866684162183,0.2035016835016835,0.00202020202020202,0.17777777777777778,0.39164983164983164
47,HOKE,Republican,38105,8506,0.37520010497310063,0.048318833764401596,0.4008922713554652,0.7345403244768399,0.5991077286445349,0.26545967552316013,48.53646503083585,48.67834469786033,0.3495866684162183,0.1863468634686347,0.002980414419528811,0.11098495600340619,0.30357649730343456
48,HYDE,Democrat,3633,1642,0.18937517203413157,0.3696711327649208,0.7429121937792458,0.5883069427527405,0.2570878062207542,0.41169305724725946,57.544728874208644,63.278928136419005,0.33581062482796586,0.4652201659221442,0.0025526483726866626,0.06190172303765156,0.5379706445437141
48,HYDE,Republican,3633,754,0.18937517203413157,0.01856763925729443,0.7429121937792458,0.9111405835543767,0.2570878062207542,0.08885941644562334,57.544728874208644,54.221485411140584,0.33581062482796586,0.560377358490566,0.009433962264150943,0.07735849056603773,0.6509433962264151
49,IREDELL,Democrat,155753,32086,0.10758059234814096,0.36096740011219847,0.7829576316347037,0.5209437137692452,0.21704236836529633,0.47905628623075486,51.73333418938961,55.2731720999813,0.37508747825082023,0.28913811645414045,0.0050699032109387,0.16623137194653556,0.4684795411481538
49,IREDELL,Republican,155753,64123,0.10758059234814096,0.009169876643326108,0.7829576316347037,0.9193425136066622,0.21704236836529633,0.08065748639333781,51.73333418938961,54.219110147684916,0.37508747825082023,0.3063072512411719,0.005978602894902455,0.18844836025452766,0.5060485280749598
50,JACKSON,Democrat,35427,10320,0.023287323228046407,0.04680232558139535,0.81977023174415,0.8044573643410853,0.18022976825585005,0.19554263565891472,50.90298360007903,56.0265503875969,0.4170830157789257,0.3095363818777062,0.00961030731861865,0.290421375013201,0.6205512725736614
50,JACKSON,Republican,35427,10017,0.023287323228046407,0.002994908655286014,0.81977023174415,0.8920834581211939,0.18022976825585005,0.10791654187880603,50.90298360007903,54.53738644304682,0.4170830157789257,0.2659532820044369,0.004567401800861281,0.16338248727652355,0.4410805167688895
