jurisdiction,cbs_region,precinct_id,party,precinct_total_reg,precinct_total_party_reg,precinct_pct_black,precinct_pct_party_black,precinct_pct_white,precinct_pct_party_white,precinct_pct_nonwhite,precinct_pct_party_nonwhite,precinct_avg_age,precinct_avg_party_age,precinct_pct_una,precinct_pct_party_election_day_lag
ALAMANCE,4,03W,Democrat,3033,789,0.11473788328387735,0.3269961977186312,0.7672271678206396,0.5297845373891001,0.23277283217936037,0.47021546261089986,51.276294098252556,53.27122940430925,0.361028684470821,0.33972602739726027
ALAMANCE,4,03W,Republican,3033,1125,0.11473788328387735,0.0071111111111111115,0.7672271678206396,0.9155555555555556,0.23277283217936037,0.08444444444444445,51.276294098252556,53.614222222222224,0.361028684470821,0.27128157156220767
ALAMANCE,4,04,Democrat,3918,749,0.09392547217968351,0.39118825100133514,0.8295048494129658,0.5420560747663551,0.1704951505870342,0.45794392523364486,52.29530372639102,60.053404539385845,0.29760081674323635,0.2706422018348624
ALAMANCE,4,04,Republican,3918,1985,0.09392547217968351,0.005037783375314861,0.8295048494129658,0.929471032745592,0.1704951505870342,0.07052896725440806,52.29530372639102,52.297229219143574,0.29760081674323635,0.2826729745712596
ALAMANCE,4,05,Democrat,2630,430,0.04638783269961977,0.2186046511627907,0.8749049429657795,0.6976744186046512,0.12509505703422052,0.3023255813953488,52.476425855513305,59.35813953488372,0.3144486692015209,0.3059548254620123
ALAMANCE,4,05,Republican,2630,1359,0.04638783269961977,0.002207505518763797,0.8749049429657795,0.9389256806475349,0.12509505703422052,0.061074319352465045,52.476425855513305,52.6990434142752,0.3144486692015209,0.3011120615911035
ALAMANCE,4,063,Democrat,2566,1237,0.36710833982852686,0.5755860953920776,0.35074045206547155,0.16895715440582054,0.6492595479345284,0.8310428455941795,47.702260327357756,48.86257073565077,0.3324240062353858,0.2209026128266033
ALAMANCE,4,063,Republican,2566,463,0.36710833982852686,0.04103671706263499,0.35074045206547155,0.8185745140388769,0.6492595479345284,0.18142548596112312,47.702260327357756,57.11879049676026,0.3324240062353858,0.21333333333333335
ALAMANCE,4,064,Democrat,4682,1335,0.16317812900469886,0.4389513108614232,0.6704399829132849,0.3902621722846442,0.32956001708671506,0.6097378277153558,52.03780435711234,53.24794007490637,0.35433575395130285,0.31755102040816324
ALAMANCE,4,064,Republican,4682,1656,0.16317812900469886,0.011473429951690822,0.6704399829132849,0.9015700483091788,0.32956001708671506,0.09842995169082126,52.03780435711234,56.36413043478261,0.35433575395130285,0.24641638225255974
ALAMANCE,4,06E,Democrat,2341,880,0.27552328064929515,0.5602272727272727,0.5677061085006407,0.3079545454545455,0.43229389149935926,0.6920454545454545,49.33276377616403,50.4875,0.3562580093976933,0.2251655629139073
ALAMANCE,4,06E,Republican,2341,609,0.27552328064929515,0.021346469622331693,0.5677061085006407,0.8899835796387521,0.43229389149935926,0.11001642036124795,49.33276377616403,56.4055829228243,0.3562580093976933,0.23478260869565218
ALAMANCE,4,06N,Democrat,2432,1176,0.39144736842105265,0.6130952380952381,0.3848684210526316,0.2108843537414966,0.6151315789473685,0.7891156462585034,47.7594572368421,49.480442176870746,0.33963815789473684,0.17921440261865793
ALAMANCE,4,06N,Republican,2432,412,0.39144736842105265,0.05825242718446602,0.3848684210526316,0.8033980582524272,0.6151315789473685,0.1966019417475728,47.7594572368421,55.929611650485434,0.33963815789473684,0.2275132275132275
ALAMANCE,4,06S,Democrat,3377,1063,0.23393544566183003,0.5164628410159925,0.6339946698252887,0.35936030103480715,0.36600533017471126,0.6406396989651929,49.931596091205215,51.67920978363123,0.36482084690553745,0.26692836113837093
ALAMANCE,4,06S,Republican,3377,1060,0.23393544566183003,0.020754716981132074,0.6339946698252887,0.9056603773584906,0.36600533017471126,0.09433962264150944,49.931596091205215,54.43867924528302,0.36482084690553745,0.2457627118644068
ALAMANCE,4,06W,Democrat,1116,448,0.29659498207885304,0.5424107142857143,0.4946236559139785,0.2544642857142857,0.5053763440860215,0.7455357142857143,49.20161290322581,48.564732142857146,0.3673835125448029,0.2210065645514223
