state,jurisdiction,precinct_id,vote_mode,us_senate_republican_brnovich_pct,us_senate_republican_lamon_pct,us_senate_republican_masters_pct,us_senate_republican_mcguire_pct,us_senate_republican_olson_pct,us_senate_republican_w_pct,us_senate_republican_bertone_pct,us_senate_republican_bozic_pct,us_senate_republican_nq_pct,governor_republican_lake_pct,governor_republican_neely_pct,governor_republican_salmon_pct,governor_republican_robson_pct,governor_republican_tulliani_pct,governor_republican_w_pct,governor_republican_finerd_pct,governor_republican_roldan_pct,governor_republican_schatz_pct,governor_republican_nq_pct,precinct_cbs,county,n,ind,dem,rep,vote10,vote12,vote14,vote16,vote18,vote20,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col
AZ,MARICOPA,0008 AGUILA,Provisional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04013_0008 AGUILA,MARICOPA,446,130,66,229,145,151,112,185,179,271,0.511210762,0.488789238,0.188340807,0.150224215,0.257847534,0.403587444,0.636363636,0,0.354545455,0.009090909,0.305882353,0.155294118,0.538823529,0.726089528,0.273910472,0.442902637,0.193461
AZ,MARICOPA,0008 AGUILA,Total Vote Share,0.16379310344827586,0.27586206896551724,0.3620689655172414,0.12931034482758622,0.017241379310344827,0.02586206896551724,0,0,0.02586206896551724,0.4789915966386555,0.06722689075630252,0.025210084033613446,0.40336134453781514,0.008403361344537815,0.008403361344537815,0,0,0,0.008403361344537815,04013_0008 AGUILA,MARICOPA,446,130,66,229,145,151,112,185,179,271,0.511210762,0.488789238,0.188340807,0.150224215,0.257847534,0.403587444,0.636363636,0,0.354545455,0.009090909,0.305882353,0.155294118,0.538823529,0.726089528,0.273910472,0.442902637,0.193461
AZ,MARICOPA,0009 AHWATUKEE,Early Voting,0.2222222222222222,0.2849673202614379,0.3241830065359477,0.09934640522875816,0.05359477124183006,0.00784313725490196,0,0,0.00784313725490196,0.3772378516624041,0.04219948849104859,0.043478260869565216,0.5,0.034526854219948847,0.0012787723785166241,0,0,0,0.0012787723785166241,04013_0009 AHWATUKEE,MARICOPA,3631,972,1235,1197,1930,2002,1491,2343,2362,3019,0.476901798,0.523098202,0.096694215,0.184297521,0.315702479,0.40330578500000003,0.832828422,0.009088405,0.114293583,0.04378959,0.285546416,0.362808461,0.351645123,0.453782534,0.546217466,0.367918304,0.464910118
AZ,MARICOPA,0009 AHWATUKEE,Election Day,0.15267175572519084,0.26717557251908397,0.4961832061068702,0.061068702290076333,0.022900763358778626,0,0,0,0,0.6194029850746269,0.007462686567164179,0.022388059701492536,0.3283582089552239,0.022388059701492536,0,0,0,0,0,04013_0009 AHWATUKEE,MARICOPA,3631,972,1235,1197,1930,2002,1491,2343,2362,3019,0.476901798,0.523098202,0.096694215,0.184297521,0.315702479,0.40330578500000003,0.832828422,0.009088405,0.114293583,0.04378959,0.285546416,0.362808461,0.351645123,0.453782534,0.546217466,0.367918304,0.464910118
AZ,MARICOPA,0009 AHWATUKEE,Provisional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,04013_0009 AHWATUKEE,MARICOPA,3631,972,1235,1197,1930,2002,1491,2343,2362,3019,0.476901798,0.523098202,0.096694215,0.184297521,0.315702479,0.40330578500000003,0.832828422,0.009088405,0.114293583,0.04378959,0.285546416,0.362808461,0.351645123,0.453782534,0.546217466,0.367918304,0.464910118
AZ,MARICOPA,0009 AHWATUKEE,Total Vote Share,0.21181716833890746,0.28205128205128205,0.3500557413600892,0.09364548494983277,0.04905239687848383,0.006688963210702341,0,0,0.006688963210702341,0.4133042529989095,0.03707742639040349,0.04034896401308615,0.4743729552889858,0.03271537622682661,0.0010905125408942203,0,0,0,0.0010905125408942203,04013_0009 AHWATUKEE,MARICOPA,3631,972,1235,1197,1930,2002,1491,2343,2362,3019,0.476901798,0.523098202,0.096694215,0.184297521,0.315702479,0.40330578500000003,0.832828422,0.009088405,0.114293583,0.04378959,0.285546416,0.362808461,0.351645123,0.453782534,0.546217466,0.367918304,0.464910118
AZ,MARICOPA,0010 AIRLINE CANAL,Early Voting,0.18133333333333335,0.25066666666666665,0.456,0.07733333333333334,0.029333333333333333,0.0026666666666666666,0,0,0.0026666666666666666,0.4894179894179894,0.0291005291005291,0.037037037037037035,0.4021164021164021,0.037037037037037035,0.0026455026455026454,0,0,0,0.0026455026455026454,04013_0010 AIRLINE CANAL,MARICOPA,4891,1821,1503,1305,1207,1284,685,1829,1665,3090,0.472527473,0.527472527,0.22796974,0.331629524,0.307299121,0.133101615,0.548327519,0.056022984,0.320541761,0.075107737,0.393389501,0.324692158,0.281918341,0.667228495,0.332771505,0.354768014,0.193559505
AZ,MARICOPA,0010 AIRLINE CANAL,Election Day,0.20202020202020202,0.13131313131313133,0.5858585858585859,0.0707070707070707,0.010101010101010102,0,0,0,0,0.7358490566037735,0.009433962264150943,0.018867924528301886,0.22641509433962265,0.009433962264150943,0,0,0,0,0,04013_0010 AIRLINE CANAL,MARICOPA,4891,1821,1503,1305,1207,1284,685,1829,1665,3090,0.472527473,0.527472527,0.22796974,0.331629524,0.307299121,0.133101615,0.548327519,0.056022984,0.320541761,0.075107737,0.393389501,0.324692158,0.281918341,0.667228495,0.332771505,0.354768014,0.193559505
AZ,MARICOPA,0010 AIRLINE CANAL,Provisional,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,04013_0010 AIRLINE CANAL,MARICOPA,4891,1821,1503,1305,1207,1284,685,1829,1665,3090,0.472527473,0.527472527,0.22796974,0.331629524,0.307299121,0.133101615,0.548327519,0.056022984,0.320541761,0.075107737,0.393389501,0.324692158,0.281918341,0.667228495,0.332771505,0.354768014,0.193559505
AZ,MARICOPA,0010 AIRLINE CANAL,Total Vote Share,0.18487394957983194,0.22478991596638656,0.4831932773109244,0.07773109243697479,0.025210084033613446,0.0021008403361344537,0,0,0.0021008403361344537,0.5411522633744856,0.024691358024691357,0.03292181069958848,0.36419753086419754,0.03292181069958848,0.00205761316872428,0,0,0,0.00205761316872428,04013_0010 AIRLINE CANAL,MARICOPA,4891,1821,1503,1305,1207,1284,685,1829,1665,3090,0.472527473,0.527472527,0.22796974,0.331629524,0.307299121,0.133101615,0.548327519,0.056022984,0.320541761,0.075107737,0.393389501,0.324692158,0.281918341,0.667228495,0.332771505,0.354768014,0.193559505
