state,jurisdiction,precinct_id,total_turnout_2022,precinct_cbs,county,n,ind,dem,rep,vote10,vote12,vote14,vote16,vote18,vote20,p_male,p_fem,p_age1,p_age2,p_age3,p_age4,p_race1,p_race2,p_race3,p_race4,p_ind,p_dem,p_rep,p_noncol,p_col,p_race1_noncol,p_race1_col
AZ,MARICOPA,0037 ASHLAND RANCH,700,04013_0037 ASHLAND RANCH,MARICOPA,4606,1761,1150,1433,887,975,513,1494,1385,2772,0.461622567,0.538377433,0.293095962,0.334563613,0.281155015,0.09118541,0.757748956,0.019344911,0.165091229,0.057814904,0.40538674,0.264732965,0.329880295,0.640341857,0.359658143,0.479153645,0.278595311
AZ,MARICOPA,0038 ASPEN,270,04013_0038 ASPEN,MARICOPA,1131,371,292,402,348,374,215,498,447,747,0.418439716,0.581560284,0.117595049,0.156498674,0.287356322,0.438549956,0.759504863,0.01061008,0.189213086,0.040671972,0.348356808,0.274178404,0.377464789,0.752612241,0.247387759,0.565727611,0.193777252
AZ,MARICOPA,0039 ASTER,898,04013_0039 ASTER,MARICOPA,2082,479,521,973,1143,1208,881,1397,1367,1743,0.504826255,0.495173745,0.129264777,0.183085055,0.3849111,0.302739068,0.897214217,0.004803074,0.046589817,0.051392891,0.242777496,0.264064876,0.493157628,0.365088167,0.634911833,0.322348342,0.574865875
AZ,MARICOPA,0040 ATHENS,800,04013_0040 ATHENS,MARICOPA,2725,847,661,1067,1037,1090,720,1373,1273,1943,0.434846807,0.565153193,0.180815877,0.259463433,0.278574054,0.281146637,0.786788991,0.021651376,0.129174312,0.062385321,0.328932039,0.256699029,0.414368932,0.608075279,0.391924721,0.472927205,0.313861786
AZ,MARICOPA,0041 AUGUSTA,217,04013_0041 AUGUSTA,MARICOPA,1250,442,470,277,439,464,293,572,550,814,0.472786353,0.527213647,0.2392,0.2392,0.312,0.2096,0.5344,0.0152,0.388,0.0624,0.371740959,0.39529016,0.232968881,0.747819627,0.252180373,0.379405947,0.154994053
AZ,MARICOPA,0042 AUGUSTA RANCH,1099,04013_0042 AUGUSTA RANCH,MARICOPA,3609,1146,773,1514,1202,1264,793,1705,1615,2606,0.483286908,0.516713092,0.188470067,0.245011086,0.365299335,0.201219512,0.801884178,0.013854253,0.141867553,0.042394015,0.333818817,0.225167492,0.441013691,0.578553097,0.421446903,0.447273547,0.354610631
AZ,MARICOPA,0043 AVIANO,1136,04013_0043 AVIANO,MARICOPA,4015,1264,1030,1543,1595,1744,1096,2247,2223,3169,0.481927711,0.518072289,0.152715496,0.183358246,0.434230194,0.229696064,0.781818182,0.008219178,0.056787049,0.153175592,0.329424029,0.268438885,0.402137086,0.56694044,0.43305956,0.450428656,0.331389525
AZ,MARICOPA,0044 AVIATION,246,04013_0044 AVIATION,MARICOPA,1863,769,501,501,327,373,188,539,549,1068,0.497012493,0.502987507,0.271604938,0.354804079,0.278582931,0.095008052,0.71160043,0.049409237,0.150912997,0.088077336,0.434217956,0.282891022,0.282891022,0.385671592,0.614328408,0.268681284,0.442919146
AZ,MARICOPA,0045 AVONDALE,106,04013_0045 AVONDALE,MARICOPA,2052,841,774,330,454,480,247,655,571,1011,0.466009852,0.533990148,0.284251585,0.277913213,0.257922964,0.179912238,0.314968308,0.028278888,0.635299854,0.02145295,0.432390746,0.397943445,0.16966581,0.827879793,0.172120207,0.256362541,0.058605768
AZ,MARICOPA,0046 AZALEA,867,04013_0046 AZALEA,MARICOPA,3283,1094,822,1238,1095,1221,726,1685,1643,2518,0.480123267,0.519876733,0.166311301,0.23880597,0.434968017,0.159914712,0.674518201,0.012236158,0.116855307,0.196390333,0.346861129,0.260621433,0.392517438,0.43057212,0.56942788,0.2896394,0.384878802
