state,race_id,race_name,party,cbs_region,jurisdiction,precincts_reported,precinct_pct_reported,timestamp,estimate_eday_eday_lagged,estimate_eday_party_demo,estimate_eday_demo,estimate_absentee_absentee_lagged,estimate_absentee_party_demo,estimate_absentee_demo,estimate_early_early_lagged,estimate_early_party_demo,estimate_early_demo
NC,2572,President-Republican,Republican,1,MARTIN,0,0,2024-03-01T20:11:28Z,1622.6140049399567,1297.3952324947782,1306.0485939419414,509.9296183160171,238.1286359586573,311.1056398978562,1054.361921328419,907.3517310865781,1054.361921328419
NC,2572,President-Republican,Republican,1,NASH,0,0,2024-03-01T20:11:28Z,7475.350882726276,7475.350882726275,7475.350882726274,2379.470203378511,1709.1116805274628,1662.158105598957,5477.033763116293,5269.290736892854,5477.033763116293
NC,2572,President-Republican,Republican,1,NEW HANOVER,0,0,2024-03-01T20:11:28Z,17445.843471444958,17188.384212272387,17164.659692102814,6184.192049584055,5930.612167738975,5972.727216094765,15001.829845392065,14775.99558723288,15001.829845392065
NC,2572,President-Republican,Republican,1,NORTHAMPTON,0,0,2024-03-01T20:11:28Z,682.2832845849986,555.0547506544098,568.3985006126247,224.2000835096315,51.88729311487614,125.71912971095777,500.6258456689582,378.6125255320049,500.6258456689582
NC,2572,President-Republican,Republican,1,ONSLOW,0,0,2024-03-01T20:11:28Z,16777.41354905595,16568.01215367337,16504.036522905826,5436.261206819689,4601.198050236484,4664.537472717924,11689.788208033013,11747.237202708891,11689.788208033013
NC,2572,President-Republican,Republican,1,PAMLICO,0,0,2024-03-01T20:11:28Z,1911.8906898390364,1587.092465694899,1623.5698446874553,424.557506068674,441.4632329332665,460.9521369352641,1246.498079691577,1153.3236938786008,1246.498079691577
NC,2572,President-Republican,Republican,1,PASQUOTANK,0,0,2024-03-01T20:11:28Z,2454.149160961975,2474.8050979029263,2458.1187974944255,698.8063795855508,621.9673539427476,685.7752415052067,2134.778766207841,1947.247141539154,2134.778766207841
NC,2572,President-Republican,Republican,1,PENDER,0,0,2024-03-01T20:11:28Z,5741.248466148325,5805.83524293611,5795.395190058654,2174.735444478669,2119.6563495784126,2141.5527715093253,5535.265351341483,5324.3794431266915,5535.265351341483
NC,2572,President-Republican,Republican,1,PERQUIMANS,0,0,2024-03-01T20:11:28Z,1467.0487667596499,1353.961387981639,1403.166369190479,488.34866719205746,348.41112378976163,387.9149813802535,1095.435725985657,969.5593928113858,1095.435725985657
NC,2572,President-Republican,Republican,1,PITT,0,0,2024-03-01T20:11:28Z,10450.924047491599,10450.924047491597,10450.924047491597,4103.938920112898,2572.8381220233923,2654.9047353780347,8107.776220452788,8186.071841633912,8107.776220452788
NC,2572,President-Republican,Republican,1,ROBESON,0,0,2024-03-01T20:11:28Z,4768.630695171236,4768.630695171236,4768.630695171236,1635.4855567809216,894.2253553321583,482.1515617380217,562.8569853267782,592.7015101653813,562.8569853267782
NC,2572,President-Republican,Republican,1,SAMPSON,0,0,2024-03-01T20:11:28Z,6181.190939333473,5713.3461194298825,5480.609579963605,1856.4665691959876,1489.7182182113513,1352.8935381633444,3844.744144924452,4006.8065255871215,3844.744144924452
NC,2572,President-Republican,Republican,1,TYRRELL,0,0,2024-03-01T20:11:28Z,234.86380927367986,234.8638092736798,234.86380927367978,66.86751792911431,39.22515848703671,43.56600323118608,129.84148969401886,106.21927621178243,129.84148969401886
NC,2572,President-Republican,Republican,1,WASHINGTON,0,0,2024-03-01T20:11:28Z,701.1679235415675,715.6547295668884,710.8349994845343,180.60119426967006,82.66937836494685,117.58060541991776,426.422942529765,365.4584054448099,426.422942529765
NC,2572,President-Republican,Republican,1,WAYNE,0,0,2024-03-01T20:11:28Z,9046.826758908826,9046.826758908828,9046.826758908828,2709.2824365164215,2332.330452875651,2262.34628698089,6848.037694638339,6651.347664458503,6848.037694638339
NC,2572,President-Republican,Republican,1,WILSON,0,0,2024-03-01T20:11:28Z,5336.3061871767,5386.712177069516,5375.998683230291,1472.0857656615217,1108.9491506404524,1141.8874441000683,3793.8085096787327,3559.264117349004,3793.8085096787327
NC,2572,President-Republican,Republican,2,CHATHAM,0,0,2024-03-01T20:11:28Z,5911.356239139532,5099.404690546543,5208.292734958792,1053.6315318135407,1534.2059354277662,1480.1845484940845,3555.4794801109024,3675.5642844638105,3555.4794801109024
NC,2572,President-Republican,Republican,2,DURHAM,0,0,2024-03-01T20:11:28Z,6992.990607364631,7693.846272027003,7802.189780391537,2902.272321857073,1479.8909681647722,1849.2958197207347,5259.771054690336,5313.140465012725,5259.771054690336
NC,2572,President-Republican,Republican,2,FRANKLIN,0,0,2024-03-01T20:11:28Z,6067.7632408976815,6067.7632408976815,6067.763240897681,1803.3197600701374,1564.8337336220575,1511.5440366372713,4228.438625529168,4164.224884843173,4228.438625529168
NC,2572,President-Republican,Republican,2,GRANVILLE,0,0,2024-03-01T20:11:28Z,3289.84012261346,3299.0062752180625,3271.9683267197956,1347.456854637423,1028.834191845786,948.680236681217,2770.42728750341,2630.5197605056633,2770.42728750341
NC,2572,President-Republican,Republican,2,JOHNSTON,0,0,2024-03-01T20:11:28Z,21688.57856722158,21688.57856722158,21688.578567221582,6507.376335895833,5745.084839835708,5439.2375719184465,13967.279763569177,14688.890245783552,13967.279763569177
NC,2572,President-Republican,Republican,2,ORANGE,0,0,2024-03-01T20:11:28Z,4316.898825061935,4312.057410904516,4332.598178212972,1581.937597793705,1452.7318082624301,1344.1282207143104,3084.718134628343,3586.6012844532,3084.718134628343
NC,2572,President-Republican,Republican,2,PERSON,0,0,2024-03-01T20:11:28Z,3233.819525488394,3209.3888270711072,3207.32870806522,988.4060324170266,794.1866896221221,789.4891081948062,2290.3305477104896,2078.8305876264394,2290.3305477104896
NC,2572,President-Republican,Republican,2,VANCE,0,0,2024-03-01T20:11:28Z,1463.2711849574498,1466.9776998724117,1461.4852928293362,637.8847600290081,233.55528702331478,373.1544582603069,1392.3351352909285,1134.9707174759114,1392.3351352909285
NC,2572,President-Republican,Republican,2,WAKE,0,0,2024-03-01T20:11:28Z,60874.07258143542,60936.927559423355,60923.20799614878,14000.692680033862,17104.330606121235,15546.288000170965,38410.11302971461,43473.19213061045,38410.11302971461
NC,2572,President-Republican,Republican,2,WARREN,0,0,2024-03-01T20:11:28Z,1021.9888076445086,1021.9888076445087,1021.9888076445087,257.23848798104433,170.94176661921162,175.47616838721444,637.521945189355,590.5074638061126,637.521945189355
NC,2572,President-Republican,Republican,3,CABARRUS,0,0,2024-03-01T20:11:28Z,19471.22835614214,19473.265875477937,19476.83364289415,4649.819291265719,5110.53884604974,4753.452570172312,12503.74659134171,13374.253418510536,12503.74659134171
NC,2572,President-Republican,Republican,3,GASTON,0,0,2024-03-01T20:11:28Z,18708.553611894047,18709.020078551945,18612.99450767181,6360.270815637681,6165.706509451177,6113.127744828709,16257.151734618215,16072.059091520714,16257.151734618215
